company,metric,value,unit,period,yoy_or_change,confidence,source_type
Alphabet (total),Operating margin,32.0,percent,FY2025,$129.0B operating income; consistently profitable,Confirmed,SEC filing
OpenAI,ChatGPT weekly active users,300,million,2024 late,milestone point,Confirmed,Company/press
OpenAI,ChatGPT weekly active users,700,million,2025 mid,milestone point,Confirmed,Company/press
OpenAI,ChatGPT weekly active users,905,million,2026 Q1,milestone point,Confirmed,Company/press
OpenAI,Paying consumer subscribers,47,million,2025 end,milestone point,Estimate,Press (private co.)
OpenAI,Paying consumer subscribers,55,million,2026 Q1,milestone point,Estimate,Press (private co.)
Anthropic,Claude monthly active users,18.8,million,2024-11,milestone point (web),Estimate,Third-party
Anthropic,Claude monthly active users,30,million,2025 mid,milestone point,Estimate,Third-party
Anthropic,Claude monthly active users,245,million,2026-06,"milestone point (Sensor Tower, broad measure)",Estimate,Third-party
Google/Gemini,Gemini app monthly active users,900,million,2026-05,milestone point,Estimate,Press
