model_name,provider,release_date,model_version,model_type,open_source,license_type,context_window_k,training_cutoff,multimodal,supported_languages,api_available,mmlu_score,humaneval_score,math_score,gpqa_score,arena_elo,gsm8k_score,hellaswag_score,arc_challenge_score,truthfulqa_score,winogrande_score,cost_input_per_1m_usd,cost_output_per_1m_usd,reasoning_model,fine_tuned_variant,base_model,parameter_tier,benchmark_completeness,benchmark_source,notes,parameters_b,model_tier,memory_footprint_gb,release_year,release_quarter,is_target_company
GPT-3.5 Turbo,OpenAI,2022-11-30,v1.0,LLM,No,Proprietary,16.0,2021-09,No,multilingual,Yes,70.0,48.1,34.1,,1106.0,56.9,85.5,66.3,47.3,76.7,0.5,1.5,No,No,,Large,91,GPT-4 Tech Report (arXiv:2303.08774),ChatGPT launch model,175.0,frontier,,2022,2022Q4,True
Claude 1,Anthropic,2023-03-14,v1.0,LLM,No,Proprietary,9.0,2022-12,No,multilingual,Yes,77.0,56.3,34.7,,1100.0,67.7,84.3,72.0,55.0,78.4,8.0,24.0,No,No,,XL,91,Anthropic (Mar 2023),First public Claude,,frontier,,2023,2023Q1,True
GPT-4,OpenAI,2023-03-14,v1.0,LLM+Vision,No,Proprietary,8.0,2021-09,Yes,multilingual,Yes,86.4,67.0,52.9,36.1,1163.0,92.2,95.1,96.0,58.9,87.2,30.0,60.0,No,No,,XL,100,GPT-4 Technical Report (arXiv:2303.08774),Flagship at launch; bar exam top 10%,,frontier,,2023,2023Q1,True
PaLM 2 Bison,Google,2023-05-10,v2.0,LLM,No,Proprietary,8.0,2022-06,No,multilingual,Yes,74.8,,,,,80.1,86.0,79.8,,78.2,,,No,No,,Large,45,Google I/O 2023,Powers Bard initially,340.0,frontier,,2023,2023Q2,True
PaLM 2 Gecko,Google,2023-05-10,v2.0,LLM,No,Proprietary,8.0,2022-06,No,multilingual,Yes,58.9,,,,,67.9,80.3,69.9,,71.3,,,No,No,,Small,45,Google I/O 2023,Smallest PaLM 2; mobile optimized,1.0,frontier,,2023,2023Q2,True
PaLM 2 Unicorn,Google,2023-05-10,v2.0,LLM,No,Proprietary,32.0,2022-06,No,multilingual,Yes,81.4,,,,,84.7,88.2,82.7,,79.9,,,No,No,,XL,45,Google I/O 2023,Largest PaLM 2,540.0,frontier,,2023,2023Q2,True
GPT-3.5 Turbo 16k,OpenAI,2023-06-13,v1.1,LLM,No,Proprietary,16.0,2021-09,No,multilingual,Yes,70.8,48.8,34.8,,1108.0,57.4,85.3,66.4,47.0,76.9,1.0,2.0,No,No,,Large,91,OpenAI (Jun 2023),16k context variant,175.0,frontier,,2023,2023Q2,True
GPT-4 0613,OpenAI,2023-06-13,v0613,LLM+Vision,No,Proprietary,8.0,2021-09,Yes,multilingual,Yes,86.4,67.4,53.0,35.9,1152.0,91.7,95.7,96.5,59.1,87.8,30.0,60.0,No,No,,XL,100,OpenAI (Jun 2023),Stable snapshot gpt-4-0613,,frontier,,2023,2023Q2,True
Claude 1.3,Anthropic,2023-07-10,v1.3,LLM,No,Proprietary,100.0,2022-12,No,multilingual,Yes,78.2,58.6,37.1,,1105.0,69.8,85.3,73.1,56.1,78.6,8.0,24.0,No,No,,XL,91,Anthropic (Jul 2023),100k context introduced,,frontier,,2023,2023Q3,True
Claude 2,Anthropic,2023-07-11,v2.0,LLM,No,Proprietary,100.0,2023-01,No,multilingual,Yes,78.5,71.4,44.7,35.1,1115.0,87.9,87.4,78.2,57.1,80.5,8.0,24.0,No,No,,XL,100,Anthropic (Jul 2023) Claude 2 model card,Major upgrade; 100k context,,frontier,,2023,2023Q3,True
GPT-4 Turbo 1106,OpenAI,2023-11-06,v1106,LLM+Vision,No,Proprietary,128.0,2023-04,Yes,multilingual,Yes,86.5,81.6,64.5,50.7,1243.0,96.0,95.8,96.3,59.5,88.2,10.0,30.0,No,No,,XL,100,OpenAI (Nov 2023),128k context,,frontier,,2023,2023Q4,True
Claude 2.1,Anthropic,2023-11-21,v2.1,LLM,No,Proprietary,200.0,2023-01,No,multilingual,Yes,76.7,70.4,43.3,34.2,1119.0,87.4,86.2,77.7,57.0,80.3,8.0,24.0,No,No,,XL,100,Anthropic (Nov 2023),200k context; fewer hallucinations,,frontier,,2023,2023Q4,True
Gemini 1.0 Nano,Google,2023-12-06,v1.0,Multimodal,No,Proprietary,4.0,2023-06,Yes,multilingual,Yes,55.4,,,,,65.4,79.3,65.9,,70.2,,,No,No,,Mini,45,Google (Dec 2023),On-device Pixel 8,1.8,frontier,,2023,2023Q4,True
Gemini 1.0 Pro,Google,2023-12-06,v1.0,Multimodal,No,Proprietary,32.0,2023-06,Yes,multilingual,Yes,72.2,,,,,76.7,84.3,76.2,,75.3,,,No,No,,Large,45,Google (Dec 2023),Powers Bard Dec 2023,7.0,frontier,,2023,2023Q4,True
Gemini 1.0 Ultra,Google,2023-12-06,v1.0,Multimodal,No,Proprietary,32.0,2023-06,Yes,multilingual,Yes,83.7,74.5,53.4,41.0,,88.5,87.6,86.9,52.9,82.3,,,No,No,,XL,100,Google Gemini Tech Report (Dec 2023),Claimed MMLU SOTA over GPT-4,,frontier,,2023,2023Q4,True
GLM-4,Zhipu AI,2024-01-16,v4.0,LLM,No,Proprietary,128.0,2023-10,No,"en,zh",Yes,73.8,71.8,57.1,,1178.0,88.9,87.0,82.9,47.2,78.3,,,No,No,,XL,82,Zhipu AI (Jan 2024),Strong Chinese LLM,130.0,frontier,,2024,2024Q1,False
GPT-4 Turbo 0125,OpenAI,2024-01-25,v0125,LLM+Vision,No,Proprietary,128.0,2023-12,Yes,multilingual,Yes,86.4,82.6,64.5,50.7,1248.0,95.7,95.4,96.9,59.3,87.7,10.0,30.0,No,No,,XL,100,OpenAI (Jan 2024),Latest GPT-4-turbo snapshot,,frontier,,2024,2024Q1,True
Gemini 1.5 Pro,Google,2024-02-15,v1.5,Multimodal,No,Proprietary,1000.0,2023-06,Yes,multilingual,Yes,85.8,71.8,67.9,46.4,1262.0,91.9,88.9,88.5,44.9,80.5,3.5,10.5,No,No,,Large,100,Google (Feb 2024); vellum.ai Sep 2024,1M context video/audio native,,frontier,,2024,2024Q1,True
Mistral Large,Mistral AI,2024-02-26,v1.0,LLM,No,Proprietary,32.0,2024-01,No,multilingual,Yes,81.2,44.9,45.3,,1157.0,81.2,89.1,80.8,45.7,78.9,4.0,12.0,No,No,,XL,91,Mistral AI (Feb 2024),Flagship closed API,123.0,frontier,,2024,2024Q1,False
Claude 3 Haiku,Anthropic,2024-03-04,v3.0,LLM,No,Proprietary,200.0,2023-08,Yes,multilingual,Yes,75.2,76.3,38.6,33.1,1179.0,89.2,85.7,80.1,41.5,75.8,0.25,1.25,No,No,,Medium,100,Anthropic Claude 3 model card (Mar 2024),Fastest Claude 3,,frontier,,2024,2024Q1,True
Claude 3 Opus,Anthropic,2024-03-04,v3.0,LLM,No,Proprietary,200.0,2023-08,Yes,multilingual,Yes,86.8,84.9,60.1,50.4,1249.0,95.1,95.5,90.0,52.0,83.2,15.0,75.0,No,No,,XL,100,Anthropic Claude 3 model card,Top Claude 3,,frontier,,2024,2024Q1,True
Claude 3 Sonnet,Anthropic,2024-03-04,v3.0,LLM,No,Proprietary,200.0,2023-08,Yes,multilingual,Yes,78.8,73.4,40.2,39.8,1201.0,90.8,89.0,84.7,44.9,79.7,3.0,15.0,No,No,,Large,100,Anthropic Claude 3 model card,Balanced speed/intelligence,,frontier,,2024,2024Q1,True
Command R+,Cohere,2024-04-04,v1.0,LLM,No,Proprietary,128.0,2023-10,No,multilingual,Yes,75.4,67.4,44.3,,1195.0,86.1,86.9,83.7,46.0,79.3,3.0,15.0,No,No,,XL,91,Cohere (Apr 2024),Enterprise RAG model,104.0,frontier,,2024,2024Q2,False
GPT-4o,OpenAI,2024-05-13,v1.0,Multimodal,No,Proprietary,128.0,2023-10,Yes,multilingual,Yes,88.7,90.2,76.6,53.6,1285.0,97.1,96.1,96.3,60.1,88.2,5.0,15.0,No,No,,XL,100,OpenAI (May 2024) model card,Omni; native audio/vision/text,,frontier,,2024,2024Q2,True
Gemini 1.5 Flash,Google,2024-05-14,v1.5,Multimodal,No,Proprietary,1000.0,2023-06,Yes,multilingual,Yes,79.3,71.8,54.9,39.3,1234.0,86.4,86.1,82.6,39.6,78.3,0.075,0.3,No,No,,Medium,100,Google (May 2024),1M context fast tier,7.0,frontier,,2024,2024Q2,True
Claude 3.5 Sonnet,Anthropic,2024-06-21,v3.5,LLM,No,Proprietary,200.0,2024-04,Yes,multilingual,Yes,88.7,92.0,71.1,59.4,1306.0,96.6,89.2,93.4,56.6,84.7,3.0,15.0,No,No,,Large,100,Anthropic 3.5 Sonnet model card (Jun 2024),Beat GPT-4o on HumanEval,,frontier,,2024,2024Q2,True
GPT-4o mini,OpenAI,2024-07-18,v1.0,Multimodal,No,Proprietary,128.0,2023-10,Yes,multilingual,Yes,82.0,87.2,70.2,40.2,1272.0,92.9,92.8,93.7,51.7,84.2,0.15,0.6,No,No,,Large,100,OpenAI (Jul 2024),Cost-efficient GPT-4o,,frontier,,2024,2024Q3,True
Mistral Large 2,Mistral AI,2024-07-24,v2.0,LLM,No,Proprietary,128.0,2024-04,No,multilingual,Yes,84.0,92.1,71.7,51.9,1251.0,93.0,90.0,90.1,49.9,83.1,3.0,9.0,No,No,,XL,100,Mistral AI (Jul 2024),Code-focused; major improvement,123.0,frontier,,2024,2024Q3,False
GPT-4o 2024-08-06,OpenAI,2024-08-06,v0806,Multimodal,No,Proprietary,128.0,2023-10,Yes,multilingual,Yes,89.1,90.9,76.6,54.0,1290.0,97.4,96.0,96.8,59.9,88.4,2.5,10.0,No,No,,XL,100,OpenAI (Aug 2024),Price reduction snapshot,,frontier,,2024,2024Q3,True
Grok 2,xAI,2024-08-13,v2.0,LLM,No,Proprietary,128.0,2024-05,Yes,multilingual,Yes,87.3,88.1,76.3,56.1,1268.0,93.5,90.1,90.7,50.6,83.6,5.0,15.0,No,No,,XL,91,xAI (Aug 2024),Competitive with GPT-4o,,frontier,,2024,2024Q3,False
o1 mini,OpenAI,2024-09-12,v1.0,Reasoning,No,Proprietary,128.0,2023-10,No,multilingual,Yes,84.6,89.8,69.6,59.8,1304.0,96.8,95.1,95.3,55.2,85.7,3.0,12.0,Yes,No,,Large,100,OpenAI (Sep 2024),Faster reasoning lower cost,,frontier,,2024,2024Q3,True
o1-preview,OpenAI,2024-09-12,v1.0,Reasoning,No,Proprietary,128.0,2023-10,No,multilingual,Yes,90.8,92.3,79.8,73.1,1312.0,99.3,96.5,96.8,61.0,88.6,15.0,60.0,Yes,No,,XL,100,OpenAI (Sep 2024) o1 system card,Chain-of-thought reasoning,,frontier,,2024,2024Q3,True
Gemini 1.5 Flash 8B,Google,2024-10-03,v1.5,Multimodal,No,Proprietary,1000.0,2023-06,Yes,multilingual,Yes,72.0,63.8,46.9,35.1,,81.8,83.3,78.9,37.9,75.4,0.0375,0.15,No,No,,Small,91,Google (Oct 2024),8B Flash variant,,frontier,,2024,2024Q4,True
Claude 3.5 Sonnet v2,Anthropic,2024-10-22,v3.5.2,LLM,No,Proprietary,200.0,2024-04,Yes,multilingual,Yes,88.7,93.4,78.1,65.3,,96.7,89.7,93.7,57.7,85.5,3.0,15.0,No,No,,Large,100,Anthropic (Oct 2024),SWE-bench 49%,,frontier,,2024,2024Q4,True
Claude 3.5 Haiku,Anthropic,2024-11-04,v3.5,LLM,No,Proprietary,200.0,2024-04,Yes,multilingual,Yes,78.0,87.8,68.9,40.8,1262.0,94.9,86.6,87.1,47.8,79.0,0.8,4.0,No,No,,Medium,100,Anthropic (Nov 2024),Fastest Claude,,frontier,,2024,2024Q4,True
Nova Lite,Amazon,2024-12-03,v1.0,Multimodal,No,Proprietary,300.0,2024-06,Yes,multilingual,Yes,71.7,64.6,49.9,,1150.0,86.3,85.9,83.3,42.7,77.2,0.06,0.24,No,No,,Large,73,Amazon (Dec 2024),Multimodal video input,,frontier,,2024,2024Q4,False
Nova Pro,Amazon,2024-12-03,v1.0,Multimodal,No,Proprietary,300.0,2024-06,Yes,multilingual,Yes,80.8,75.2,62.3,47.6,1200.0,89.9,88.8,86.8,46.8,80.7,0.8,3.2,No,No,,XL,91,Amazon (Dec 2024),Premium Nova multimodal,,frontier,,2024,2024Q4,False
o1,OpenAI,2024-12-05,v1.0,Reasoning,No,Proprietary,200.0,2023-10,Yes,multilingual,Yes,91.8,92.3,83.3,77.0,1320.0,99.0,96.4,97.4,61.1,88.3,15.0,60.0,Yes,No,,XL,100,OpenAI (Dec 2024) o1 release,Full o1 with vision,,frontier,,2024,2024Q4,True
DeepSeek V3,DeepSeek,2024-12-26,v3.0,LLM (MoE),Yes,DeepSeek,128.0,2024-10,No,"en,zh",Yes,88.5,91.6,87.1,59.1,1370.0,96.7,89.6,89.7,51.7,83.9,0.27,1.1,No,No,,XL,91,DeepSeek-AI (Dec 2024),MoE near-GPT-4o at open price,671.0,frontier,,2024,2024Q4,False
Gemini 2.0 Flash,Google,2025-01-15,v2.0,Multimodal,No,Proprietary,1000.0,2024-06,Yes,multilingual,Yes,89.4,88.8,79.6,61.7,1354.0,96.2,90.8,92.3,56.3,85.2,0.1,0.4,No,No,,Large,91,Google (Jan 2025),Agentic tool use native,7.0,frontier,,2025,2025Q1,True
DeepSeek R1,DeepSeek,2025-01-20,v1.0,Reasoning,Yes,DeepSeek,128.0,2024-10,No,"en,zh",Yes,90.8,96.3,97.3,71.5,1380.0,98.3,89.9,90.8,51.7,85.3,0.55,2.19,Yes,No,,XL,91,DeepSeek R1 paper (arXiv Jan 2025),Matched o1 at fraction of cost; open,671.0,frontier,,2025,2025Q1,False
Kimi K1.5,Moonshot AI,2025-01-22,v1.5,Reasoning,No,Proprietary,128.0,2024-10,No,"en,zh",Yes,88.5,94.2,96.0,70.3,1320.0,98.6,90.3,90.7,53.4,84.1,,,Yes,No,,XL,91,Moonshot AI (Jan 2025),Strong AIME performance,,frontier,,2025,2025Q1,False
o3 mini,OpenAI,2025-01-31,v1.0,Reasoning,No,Proprietary,128.0,2024-06,No,multilingual,Yes,86.9,93.4,87.9,72.9,1355.0,99.2,95.6,96.2,57.8,87.6,1.1,4.4,Yes,No,,Large,91,OpenAI (Jan 2025),Small but strong reasoner,,frontier,,2025,2025Q1,True
Gemini 2.0 Flash Lite,Google,2025-02-01,v2.0,Multimodal,No,Proprietary,1000.0,2024-06,Yes,multilingual,Yes,81.6,82.0,70.8,49.8,,89.9,88.3,87.9,47.7,80.7,0.075,0.3,No,No,,Medium,91,Google (Feb 2025),Budget Gemini 2.0,,frontier,,2025,2025Q1,True
Grok 3,xAI,2025-02-17,v3.0,LLM,No,Proprietary,128.0,2024-12,Yes,multilingual,Yes,90.7,92.5,92.8,84.2,1402.0,97.7,92.0,93.5,62.2,87.3,3.0,15.0,Yes,No,,XL,91,xAI (Feb 2025),DeepSearch + thinking,,frontier,,2025,2025Q1,False
Claude 3.7 Sonnet,Anthropic,2025-02-24,v3.7,Reasoning,No,Proprietary,200.0,2024-08,Yes,multilingual,Yes,91.9,93.1,79.6,70.4,1360.0,98.3,91.3,95.2,62.1,87.1,3.0,15.0,Yes,No,,Large,100,Anthropic (Feb 2025),Extended thinking mode,,frontier,,2025,2025Q1,True
Gemini 2.5 Flash,Google,2025-03-25,v2.5,Multimodal,No,Proprietary,1000.0,2024-10,Yes,multilingual,Yes,89.5,91.8,89.3,78.1,1390.0,97.2,92.6,93.7,60.1,86.4,0.25,1.0,Yes,No,,Large,91,Google (Mar 2025),Thinking Flash,7.0,frontier,,2025,2025Q1,True
Gemini 2.5 Pro,Google,2025-03-25,v2.5,Multimodal,No,Proprietary,1000.0,2024-10,Yes,multilingual,Yes,91.6,90.7,92.4,83.8,1430.0,98.2,93.4,94.7,63.0,87.9,2.5,15.0,Yes,No,,XL,91,Google (Mar 2025) model card,Top GPQA at launch,,frontier,,2025,2025Q1,True
LLaMA 4 Scout,Meta,2025-04-05,v4.0,Multimodal,Yes,Llama 4,10000.0,2024-12,Yes,multilingual,Yes,79.8,85.3,64.7,48.8,1340.0,93.2,88.0,88.6,50.0,81.1,,,No,No,,Small,91,Meta Llama 4 (Apr 2025),10M token context,109.0,frontier,,2025,2025Q2,True
LLaMA 4 Maverick,Meta,2025-04-05,v4.0,Multimodal,Yes,Llama 4,1000.0,2024-12,Yes,multilingual,Yes,85.6,88.2,73.4,56.0,1380.0,95.2,90.4,91.0,52.3,84.2,,,No,No,,XL,91,Meta Llama 4 release,MoE multimodal flagship,400.0,frontier,,2025,2025Q2,True
o3,OpenAI,2025-04-16,v1.0,Reasoning,No,Proprietary,200.0,2024-06,Yes,multilingual,Yes,93.4,96.4,96.5,87.5,1390.0,99.9,96.6,97.8,65.1,90.3,10.0,40.0,Yes,No,,XL,91,OpenAI (Apr 2025),ARC-AGI near-human,,frontier,,2025,2025Q2,True
o4 mini,OpenAI,2025-04-16,v1.0,Reasoning,No,Proprietary,200.0,2024-06,Yes,multilingual,Yes,89.2,94.2,90.6,78.7,1400.0,99.4,96.9,96.9,61.9,89.1,1.1,4.4,Yes,No,,Large,91,OpenAI (Apr 2025),Efficient o4 multimodal,,frontier,,2025,2025Q2,True
Qwen3 235B MoE,Alibaba,2025-04-28,v3.0,LLM (MoE),Yes,Apache-2.0,128.0,2024-12,No,multilingual,Yes,89.7,93.2,87.6,67.9,1390.0,96.8,90.2,91.0,52.0,84.6,,,Yes,No,,XL,91,Alibaba Qwen3 (Apr 2025),Hybrid thinking modes MoE,235.0,frontier,,2025,2025Q2,False
GPT-5,OpenAI,2025-05-01,v1.0,LLM+Vision,No,Proprietary,256.0,2024-10,Yes,multilingual,Yes,92.3,95.6,99.2,85.4,1450.0,99.3,97.3,98.8,66.8,90.9,15.0,75.0,No,No,,XL,91,OpenAI (May 2025); lxt.ai 2026,Full GPT-5 flagship,,frontier,,2025,2025Q2,True
Mistral Large 3,Mistral AI,2025-05-01,v3.0,LLM,No,Proprietary,128.0,2024-12,No,multilingual,Yes,86.9,93.4,77.7,60.1,1370.0,94.7,90.7,90.8,52.8,84.6,3.0,9.0,No,No,,XL,91,Mistral AI (2025),2025 flagship,123.0,frontier,,2025,2025Q2,False
Claude Haiku 4.5,Anthropic,2025-07-01,v4.5,LLM,No,Proprietary,200.0,2024-12,Yes,multilingual,Yes,82.1,88.9,71.8,47.7,,95.9,89.3,91.0,53.9,82.1,0.8,4.0,No,No,,Medium,100,Anthropic (2025),High-throughput tier,,frontier,,2025,2025Q3,True
Claude Opus 4.5,Anthropic,2025-07-01,v4.5,LLM,No,Proprietary,200.0,2024-12,Yes,multilingual,Yes,91.7,95.4,88.1,78.0,,98.5,91.6,96.1,63.9,88.2,15.0,75.0,No,No,,XL,100,Anthropic (2025); morphllm.com,SWE-bench 80.9%,,frontier,,2025,2025Q3,True
Claude Sonnet 4.5,Anthropic,2025-07-01,v4.5,LLM,No,Proprietary,200.0,2024-12,Yes,multilingual,Yes,90.1,97.6,85.4,72.0,,97.9,91.9,95.7,63.2,87.8,3.0,15.0,No,No,,Large,100,Anthropic (2025); logic.inc (Apr 2026),HumanEval 97.6%,,frontier,,2025,2025Q3,True
Grok 4,xAI,2025-07-01,v4.0,LLM,No,Proprietary,256.0,2025-04,Yes,multilingual,Yes,94.4,96.4,95.6,88.0,1491.0,99.3,93.3,95.3,64.7,89.2,6.0,30.0,Yes,No,,XL,91,xAI (2025); lxt.ai,HLE leader 50.7%,,frontier,,2025,2025Q3,False
Gemini 3 Flash,Google,2025-08-01,v3.0,Multimodal,No,Proprietary,1000.0,2025-04,Yes,multilingual,Yes,90.3,92.2,89.8,80.1,1445.0,98.4,93.2,93.8,61.9,87.4,0.78,3.12,Yes,No,,Large,91,llm-stats.com (2026),Flash reasoning 1M ctx,7.0,frontier,,2025,2025Q3,True
Gemini 3 Pro,Google,2025-09-01,v3.0,Multimodal,No,Proprietary,1000.0,2025-04,Yes,multilingual,Yes,92.4,91.7,93.2,93.8,1480.0,98.3,94.4,95.0,66.0,89.9,,,Yes,No,,XL,91,logic.inc (Apr 2026); datacamp.com,GPQA Diamond 94.1%,,frontier,,2025,2025Q3,True
Mercury 2,Inception Labs,2025-09-01,v2.0,LLM,No,Proprietary,128.0,2025-04,No,multilingual,Yes,89.1,93.1,87.7,72.1,1280.0,97.0,90.7,92.0,57.3,85.6,,,No,No,,XL,82,llm-stats.com (May 2026),Fastest LLM 1197 tok/s,,frontier,,2025,2025Q3,False
Claude Opus 4.6,Anthropic,2025-10-01,v4.6,LLM,No,Proprietary,1000.0,2025-02,Yes,multilingual,Yes,91.6,94.8,89.3,80.6,1503.0,98.4,92.6,96.8,64.9,88.9,15.0,75.0,No,No,,XL,91,Anthropic (2025); llm-stats.com,GPQA 80.2%,,frontier,,2025,2025Q4,True
Claude Sonnet 4.6,Anthropic,2025-10-01,v4.6,LLM,No,Proprietary,1000.0,2025-02,Yes,multilingual,Yes,90.8,95.7,86.1,73.3,1420.0,98.1,91.7,96.1,63.9,88.2,3.0,15.0,No,No,,Large,91,Anthropic (2025),Workhorse 2025,,frontier,,2025,2025Q4,True
GPT-5.1,OpenAI,2025-11-13,v1.0,LLM+Vision,No,Proprietary,400.0,2024-10,Yes,multilingual,Yes,92.7,96.3,99.6,86.3,1460.0,99.6,97.3,98.8,67.7,91.4,2.22,8.88,No,No,,XL,91,llm-stats.com (2026),GPT-5.1 stable,,frontier,,2025,2025Q4,True
Kimi K2.6,Moonshot AI,2025-12-01,v2.6,LLM,Yes,Open,262.0,2025-06,No,multilingual,Yes,89.7,93.6,91.1,90.8,1350.0,98.2,92.0,93.4,58.3,86.7,0.95,3.8,No,No,,XL,91,llm-stats.com (May 2026),Cheapest top-10,,frontier,,2025,2025Q4,False
Claude Opus 4.7,Anthropic,2026-02-01,v4.7,LLM,No,Proprietary,1000.0,2025-06,Yes,multilingual,Yes,92.4,95.6,90.2,82.4,,98.9,92.7,96.9,66.0,89.3,7.22,28.88,No,No,,XL,91,llm-stats.com (May 2026),Arena Elo 1915,,frontier,,2026,2026Q1,True
GPT-5.4,OpenAI,2026-02-01,v1.0,Multimodal,No,Proprietary,1000.0,2025-04,Yes,multilingual,Yes,94.2,96.8,99.9,88.3,1484.0,99.7,98.3,98.7,69.4,92.1,3.89,15.56,No,No,,XL,91,llm-stats.com (May 2026),OSWorld 75%; multimodal flagship,,frontier,,2026,2026Q1,True
Gemini 3.1 Pro,Google,2026-03-01,v3.1,Multimodal,No,Proprietary,1000.0,2025-08,Yes,multilingual,Yes,93.1,93.9,93.4,94.6,1500.0,98.6,94.9,95.6,66.7,90.1,3.89,15.56,Yes,No,,XL,91,llm-stats.com (May 2026),Coding arena leader 2093 Elo,,frontier,,2026,2026Q1,True
T5 Base,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,0.5,2019-10,No,en,No,29.6,,,,,,64.9,40.0,,57.8,,,No,No,,Small,36,Raffel et al. 2020,,0.22,research,0.15,2020,2020Q1,True
T5 Large,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,0.5,2019-10,No,en,No,35.2,,,,,,67.6,43.8,,59.8,,,No,No,,Small,36,Raffel et al. 2020,,0.77,research,0.5,2020,2020Q1,True
T5 Small,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,0.5,2019-10,No,en,No,24.7,,,,,,59.9,34.7,,54.8,,,No,No,,Mini,36,Raffel et al. 2020 (arXiv:1910.10683),Text-to-Text Transfer Transformer,0.06,research,0.04,2020,2020Q1,True
T5 XL,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,0.5,2019-10,No,en,No,39.9,,,,,,71.2,47.9,,62.2,,,No,No,,Small,36,Raffel et al. 2020,,3.0,research,2.0,2020,2020Q1,True
T5 XXL,Google,2020-02-24,v1.0,LLM,Yes,Apache-2.0,0.5,2019-10,No,en,No,48.3,,,,,,74.7,53.3,,64.1,,,No,No,,Large,36,Raffel et al. 2020,Largest T5,11.0,research,6.0,2020,2020Q1,True
